,,Week 5 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tetairoa McMillan,Arizona,Utah,Ari,-,-,1,16.33,1,23.28,110.35,6.95,15.9,0.88,0.18,0.09,2.0,0.00
Evan Stewart,Oregon,UCLA,Oregon,-,-,2,14.73,3,20.59,94.89,5.85,16.2,0.87,0.00,0.00,0.0,0.00
Ricky White,UNLV,Fres,Fres,-,-,3,14.09,4,20.34,105.83,6.25,16.9,0.58,0.08,0.08,1.0,0.00
Tez Johnson,Oregon,UCLA,Oregon,-,-,4,13.96,2,20.73,93.34,6.77,13.8,0.77,0.00,0.00,0.0,0.00
Joey Hobert,Texas State,SamHou,TxSt,-,-,5,12.34,5,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Xavier Restrepo,Miami,VaTech,VaTech,-,-,6,12.33,6,19.20,92.00,6.87,13.4,0.52,0.00,0.00,0.0,0.00
Kevin Concepcion,North Carolina State,NIU,NIU,-,-,7,12.21,10,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Germie Bernard,Alabama,UGa,UGa,-,-,8,12.13,13,17.87,80.29,5.74,14.0,0.53,3.97,1.15,3.5,0.09
Roc Taylor,Memphis,MiddTn,MiddTn,-,-,9,12.00,12,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Kyren Lacy,LSU,USA,USA,-,-,10,11.79,20,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,Tulane,USF,-,-,11,11.72,7,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Kaedin Robinson,Appalachian State,Lib,Lib,-,-,12,11.67,18,17.12,74.29,5.45,13.6,0.70,0.18,0.09,2.0,0.00
Jamaal Pritchett,South Alabama,LSU,USA,-,-,13,11.66,11,17.97,80.22,6.32,12.7,0.61,0.00,0.00,0.0,0.00
Will Pauling,Wisconsin,USC,Wisc,-,-,14,11.63,8,18.70,79.01,7.07,11.2,0.61,0.61,0.09,6.8,0.00
Tre Harris,Mississippi,Kty,Kty,-,-,15,11.60,22,16.36,82.77,4.75,17.4,0.55,0.00,0.00,0.0,0.00
Emeka Egbuka,Ohio State,MSU,OhioSt,-,-,16,11.46,17,17.38,73.62,5.92,12.4,0.65,2.11,0.41,5.1,0.00
Deion Burks,Oklahoma,Auburn,Okla,-,-,17,11.36,16,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
Noah Smith,Sam Houston,TxSt,TxSt,-,-,18,11.19,15,17.44,62.83,6.25,10.1,0.50,9.08,2.33,3.9,0.17
Brennan Presley,Oklahoma State,KanSt,OkSt,-,-,19,11.17,9,18.67,76.91,7.51,10.2,0.44,3.32,0.87,3.8,0.09
Jayden Higgins,Iowa State,Hou,IaSt,-,-,20,11.11,29,15.51,81.80,4.40,18.6,0.49,0.00,0.00,0.0,0.00
Kyle Williams,Washington State,Boise,WashSt,-,-,21,11.06,21,16.40,74.24,5.33,13.9,0.60,0.26,0.26,1.0,0.00
Jeremiah Hunter,Washington,Rut,Wash,-,-,22,10.92,23,16.32,73.00,5.40,13.5,0.60,0.20,0.10,2.0,0.00
Derwin Burgess,Georgia Southern,GaSt,GaSo,-,-,23,10.82,14,17.73,75.45,6.91,10.9,0.55,0.00,0.00,0.0,0.00
Elic Ayomanor,Stanford,Clem,Stan,-,-,24,10.81,27,15.91,79.41,5.10,15.6,0.48,0.00,0.00,0.0,0.00
Josh Kelly,Texas Tech,Cin,Cin,-,-,25,10.81,28,15.91,71.91,5.11,14.1,0.60,0.43,0.09,4.8,0.00
Kobe Hudson,Central Florida,Colo,Colo,-,-,26,10.80,33,14.77,72.61,3.96,18.3,0.59,0.00,0.00,0.0,0.00
Lajohntay Wester,Colorado,UCF,Colo,-,-,27,10.73,19,17.06,66.86,6.34,10.5,0.64,1.84,0.28,6.6,0.00
Rashod Owens,Oklahoma State,KanSt,OkSt,-,-,28,10.59,25,16.21,81.17,5.61,14.5,0.41,0.00,0.00,0.0,0.00
Nic Anderson,Oklahoma,Auburn,Okla,-,-,29,10.57,46,14.02,71.18,3.45,20.6,0.58,0.00,0.00,0.0,0.00
Travis Hunter,Colorado,UCF,Colo,-,-,30,10.33,26,16.12,73.88,5.80,12.7,0.49,0.00,0.00,0.0,0.00
Caullin Lacy,Louisville,ND,Lou,-,-,31,10.31,24,16.21,69.33,5.91,11.7,0.56,0.00,0.00,0.0,0.00
Demeer Blankumsee,Memphis,MiddTn,MiddTn,-,-,32,10.12,36,14.64,73.54,4.52,16.3,0.44,1.06,0.18,5.9,0.00
