,,Week 3 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tetairoa McMillan,Arizona,KanSt,Ari,-,-,1,16.33,1,23.28,110.35,6.95,15.9,0.88,0.18,0.09,2.0,0.00
Evan Stewart,Oregon,OreSt,Oregon,-,-,2,14.73,4,20.59,94.89,5.85,16.2,0.87,0.00,0.00,0.0,0.00
Ricky White,UNLV,Kansas,UNLV,-,-,3,14.09,5,20.34,105.83,6.25,16.9,0.58,0.08,0.08,1.0,0.00
Tory Horton,Colorado State,Colo,Colo,-,-,4,14.05,2,22.07,99.89,8.03,12.4,0.68,0.00,0.00,0.0,0.00
Tez Johnson,Oregon,OreSt,Oregon,-,-,5,13.96,3,20.73,93.34,6.77,13.8,0.77,0.00,0.00,0.0,0.00
Jalen Royals,Utah State,Utah,Utah,-,-,6,13.83,6,19.96,94.09,6.14,15.3,0.74,0.00,0.00,0.0,0.00
Luther Burden III,Missouri,BC,BC,-,-,7,13.79,7,19.92,94.84,6.13,15.5,0.68,2.27,0.53,4.3,0.00
Joey Hobert,Texas State,AriSt,AriSt,-,-,8,12.34,8,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Xavier Restrepo,Miami,BallSt,BallSt,-,-,9,12.33,9,19.20,92.00,6.87,13.4,0.52,0.00,0.00,0.0,0.00
Kevin Concepcion,North Carolina State,LaTech,LaTech,-,-,10,12.21,13,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Germie Bernard,Alabama,Wisc,Ala,-,-,11,12.13,17,17.87,80.29,5.74,14.0,0.53,3.97,1.15,3.5,0.09
Roc Taylor,Memphis,FlaSt,Mem,-,-,12,12.00,16,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Kyren Lacy,LSU,SCar,LSU,-,-,13,11.79,25,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,SouMis,USF,-,-,14,11.72,10,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Kaedin Robinson,Appalachian State,ECU,App,-,-,15,11.67,22,17.12,74.29,5.45,13.6,0.70,0.18,0.09,2.0,0.00
Jamaal Pritchett,South Alabama,NWSt,NWSt,-,-,16,11.66,15,17.97,80.22,6.32,12.7,0.61,0.00,0.00,0.0,0.00
Will Pauling,Wisconsin,Ala,Ala,-,-,17,11.63,11,18.70,79.01,7.07,11.2,0.61,0.61,0.09,6.8,0.00
Tre Harris,Mississippi,Wake,Miss,-,-,18,11.60,27,16.36,82.77,4.75,17.4,0.55,0.00,0.00,0.0,0.00
Pofele Ashlock,Hawaii,SamHou,Hawaii,-,-,19,11.58,14,18.19,66.20,6.61,10.0,0.83,0.00,0.00,0.0,0.00
Eugene Wilson,Florida,TexA&M,TexA&M,-,-,20,11.39,21,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Deion Burks,Oklahoma,Tulane,Tulane,-,-,21,11.36,20,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
Malachi Fields,Virginia,MD,MD,-,-,22,11.24,24,17.01,79.91,5.77,13.8,0.54,0.09,0.09,1.0,0.00
Noah Smith,Sam Houston,Hawaii,Hawaii,-,-,23,11.19,19,17.44,62.83,6.25,10.1,0.50,9.08,2.33,3.9,0.17
Brennan Presley,Oklahoma State,Tulsa,OkSt,-,-,24,11.17,12,18.67,76.91,7.51,10.2,0.44,3.32,0.87,3.8,0.09
Kyle Williams,Washington State,Wash,WashSt,-,-,25,11.06,26,16.40,74.24,5.33,13.9,0.60,0.26,0.26,1.0,0.00
Jeremiah Hunter,Washington,WashSt,WashSt,-,-,26,10.92,28,16.32,73.00,5.40,13.5,0.60,0.20,0.10,2.0,0.00
Derwin Burgess,Georgia Southern,SCSt,SCSt,-,-,27,10.82,18,17.73,75.45,6.91,10.9,0.55,0.00,0.00,0.0,0.00
Josh Kelly,Texas Tech,NorTx,NorTx,-,-,28,10.81,32,15.91,71.91,5.11,14.1,0.60,0.43,0.09,4.8,0.00
Kobe Hudson,Central Florida,TCU,UCF,-,-,29,10.80,37,14.77,72.61,3.96,18.3,0.59,0.00,0.00,0.0,0.00
Eric Singleton,Georgia Tech,VMI,VMI,-,-,30,10.74,33,15.87,76.54,5.13,14.9,0.50,0.59,0.08,7.4,0.00
Lajohntay Wester,Colorado,ColoSt,Colo,-,-,31,10.73,23,17.06,66.86,6.34,10.5,0.64,1.84,0.28,6.6,0.00
Squirrel White,Tennessee,KentSt,KentSt,-,-,32,10.68,30,16.21,76.12,5.53,13.8,0.49,0.99,0.16,6.2,0.00
Rashod Owens,Oklahoma State,Tulsa,OkSt,-,-,33,10.59,29,16.21,81.17,5.61,14.5,0.41,0.00,0.00,0.0,0.00
Nic Anderson,Oklahoma,Tulane,Tulane,-,-,34,10.57,50,14.02,71.18,3.45,20.6,0.58,0.00,0.00,0.0,0.00
Travis Hunter,Colorado,ColoSt,Colo,-,-,35,10.33,31,16.12,73.88,5.80,12.7,0.49,0.00,0.00,0.0,0.00
Demeer Blankumsee,Memphis,FlaSt,Mem,-,-,36,10.12,40,14.64,73.54,4.52,16.3,0.44,1.06,0.18,5.9,0.00
Isaiah Bond,Texas,Tx-SA,Tx-SA,-,-,37,10.02,34,15.19,75.39,5.17,14.6,0.40,0.57,0.16,3.6,0.00
Kole Wilson,Texas State,AriSt,AriSt,-,-,38,9.81,35,14.98,59.23,5.17,11.5,0.65,0.08,0.16,0.5,0.00
Kelly Akharaiyi,Mississippi State,Toledo,Toledo,-,-,39,9.80,51,13.97,68.53,4.18,16.4,0.44,2.76,0.53,5.2,0.00
Jalen Moss,Fresno State,NMSt,NMSt,-,-,40,9.71,36,14.77,65.07,5.07,12.8,0.53,0.00,0.00,0.0,0.00
Kamdyn Benjamin,Tulsa,OkSt,OkSt,-,-,41,9.68,48,14.09,65.07,4.41,14.8,0.52,0.60,0.09,6.7,0.00
Denzel Boston,Washington,WashSt,WashSt,-,-,42,9.62,41,14.57,66.56,4.95,13.4,0.49,0.00,0.00,0.0,0.00
Jordan Moore,Duke,UConn,UConn,-,-,43,9.62,52,13.90,60.53,4.28,14.1,0.57,1.70,0.48,3.5,0.00
Chrishon McCray,Kent,Tenn,KentSt,-,-,44,9.59,43,14.21,69.86,4.62,15.1,0.41,1.32,0.33,4.0,0.00
Daniel Jackson,Minnesota,Nevada,Nevada,-,-,45,9.55,46,14.14,64.70,4.58,14.1,0.51,0.25,0.08,3.1,0.00
Damon Ward,North Texas,TxTch,NorTx,-,-,46,9.54,44,14.15,58.22,4.61,12.6,0.62,0.00,0.00,0.0,0.00
Will Sheppard,Colorado,ColoSt,Colo,-,-,47,9.49,49,14.08,62.56,4.58,13.7,0.54,0.00,0.00,0.0,0.00
Devin McCuin,UTSA,Tex,Tx-SA,-,-,48,9.44,39,14.68,68.04,5.25,13.0,0.43,0.52,0.09,5.8,0.00
Chris Tyree,Virginia,MD,MD,-,-,49,9.29,45,14.14,60.48,4.85,12.5,0.47,4.39,1.49,2.9,0.00
Antwane Wells Jr.,Mississippi,Wake,Miss,-,-,50,9.26,56,13.51,65.92,4.25,15.5,0.44,0.09,0.09,1.0,0.00
Dalvin Smith,Western Kentucky,MiddTn,WestKy,-,-,51,9.25,38,14.70,57.57,5.44,10.6,0.58,0.33,0.08,4.1,0.00
Elijhah Badger,Florida,TexA&M,TexA&M,-,-,52,9.08,54,13.72,73.88,4.64,15.9,0.25,1.77,0.34,5.2,0.00
Johntay Cook II,Texas,Tx-SA,Tx-SA,-,-,53,9.03,61,12.85,53.22,3.83,13.9,0.61,0.52,0.17,3.1,0.00
Dorian Singer,Utah,UtahSt,Utah,-,-,54,8.98,67,12.47,54.45,3.49,15.6,0.54,3.13,0.54,5.8,0.00
Eric McAlister,TCU,UCF,UCF,-,-,55,8.73,57,13.17,64.53,4.44,14.5,0.36,1.42,0.36,3.9,0.00
