,,Week 2 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Noah Fifita,Arizona,NoAri,NoAri,-,-,22,21.97,22,21.97,280.65,2.48,0.86,12.3,3.16,3.16,1.0,0.09
Will Howard,Ohio State,WestMI,WestMI,-,-,23,21.91,23,21.91,254.84,1.97,0.58,13.4,18.57,4.44,4.2,0.33
Grayson McCall,North Carolina State,Tenn,Tenn,-,-,24,21.85,24,21.85,235.63,1.78,0.85,12.1,22.61,8.13,2.8,0.51
Preston Stone,SMU,BYU,BYU,-,-,25,21.47,25,21.47,261.65,2.02,0.84,13.6,14.14,5.22,2.7,0.25
Conner Weigman,Texas A&M,McNe,McNe,-,-,26,21.42,26,21.42,247.83,1.86,0.68,12.5,20.16,5.76,3.5,0.34
Riley Leonard,Notre Dame,NIU,NIU,-,-,27,21.34,27,21.34,215.75,2.06,0.41,13.8,24.82,5.03,4.9,0.33
Taylen Green,Arkansas,OkSt,Ark,-,-,28,21.32,28,21.32,212.94,1.43,1.18,12.1,40.67,9.66,4.2,0.50
Gio Lopez,South Alabama,Ohio,USA,-,-,29,21.32,29,21.32,238.64,1.71,0.90,11.7,24.98,6.75,3.7,0.41
Quinn Ewers,Texas,Mich,Tex,-,-,30,21.22,30,21.22,286.78,1.91,0.58,12.9,6.07,4.99,1.2,0.25
Jaylen Raynor,Arkansas State,Tulsa,Tulsa,-,-,31,21.21,31,21.21,238.08,1.51,0.75,14.6,31.35,10.81,2.9,0.42
Carson Beck,Georgia,TnTech,TnTech,-,-,32,21.20,32,21.20,291.08,1.83,0.58,12.7,7.48,4.41,1.7,0.25
Miller Moss,USC,UtahSt,UtahSt,-,-,33,21.16,33,21.16,277.17,2.05,0.77,13.0,8.38,3.68,2.3,0.17
Donovan Smith,Houston,Okla,Hou,-,-,34,20.96,34,20.96,214.82,1.76,0.92,11.9,28.08,9.39,3.0,0.42
Jacob Zeno,UAB,UL-Mon,UAB,-,-,35,20.81,35,20.81,273.20,1.82,0.83,10.7,10.86,8.38,1.3,0.25
Maddux Madsen,Boise State,Oregon,Boise,-,-,36,20.49,36,20.49,232.23,1.83,0.83,13.4,18.94,5.23,3.6,0.33
LaNorris Sellers,South Carolina,Kty,SCar,-,-,37,20.43,37,20.43,238.41,1.32,0.74,12.5,31.25,8.93,3.5,0.41
Tyler Shough,Louisville,JacSt,JacSt,-,-,38,20.40,38,20.40,247.63,1.84,1.00,11.5,16.37,5.26,3.1,0.25
Jalon Daniels,Kansas,Ill,Kansas,-,-,39,19.98,39,19.98,204.04,1.60,0.34,12.8,28.97,9.01,3.2,0.42
JC French,Georgia Southern,Nevada,GaSo,-,-,40,19.95,40,19.95,267.83,1.83,1.08,10.7,9.00,6.00,1.5,0.17
Cameron Rising,Utah,Baylor,Baylor,-,-,41,19.80,41,19.80,210.63,1.65,0.58,12.1,27.91,5.61,5.0,0.33
Dequan Finn,Baylor,Utah,Baylor,-,-,42,19.78,42,19.78,227.31,1.54,1.00,12.1,26.92,6.92,3.9,0.31
Nicholas Vattiato,Middle Tenn. St,Miss,MiddTn,-,-,43,19.73,43,19.73,232.58,1.66,0.99,12.2,23.04,7.96,2.9,0.25
Tucker Gleason,Toledo,UMass,UMass,-,-,44,19.72,44,19.72,202.58,1.52,0.68,12.6,35.18,8.78,4.0,0.34
Josh Hoover,TCU,LIU,LIU,-,-,45,19.59,45,19.59,281.45,1.77,1.18,12.3,2.28,3.80,0.6,0.17
John Mateer,Washington State,TxTch,TxTch,-,-,46,19.58,46,19.58,232.36,1.52,0.76,11.5,21.56,8.27,2.6,0.34
TJ Finley,Western Kentucky,EastKy,EastKy,-,-,47,19.57,47,19.57,251.77,2.00,0.91,11.0,5.16,3.99,1.3,0.17
E.J. Warner,Rice,TxSo,TxSo,-,-,48,19.51,48,19.51,244.28,2.28,0.93,12.0,0.93,3.22,0.3,0.08
Rocco Becht,Iowa State,Iowa,IaSt,-,-,49,19.40,49,19.40,246.25,1.85,0.67,13.3,6.15,6.07,1.0,0.25
Kurtis Rourke,Indiana,WestIl,WestIl,-,-,50,19.35,50,19.35,241.47,1.57,0.66,11.2,19.31,6.44,3.0,0.25
Danny O'Neil,San Diego State,OreSt,OreSt,-,-,51,19.34,52,19.34,237.84,1.65,1.07,11.0,12.60,7.00,1.8,0.33
Matthew Sluka,UNLV,UtahTe,UtahTe,-,-,52,19.34,51,19.34,242.53,1.24,0.82,13.8,27.18,7.00,3.9,0.33
Brayden Fowler-Nicolosi,Colorado State,NorCol,NorCol,-,-,53,19.17,53,19.17,289.81,1.81,1.32,11.6,-1.73,2.89,-0.6,0.08
Logan Smothers,Jacksonville State,Lou,JacSt,-,-,54,18.97,54,18.97,130.40,0.91,0.66,10.9,51.21,14.19,3.6,0.83
Ashton Daniels,Stanford,CalPly,CalPly,-,-,55,18.90,55,18.90,243.25,1.26,0.93,11.5,26.07,9.34,2.8,0.25
Cade Klubnik,Clemson,App,App,-,-,56,18.85,56,18.85,233.88,1.65,0.74,10.1,14.17,9.47,1.5,0.25
Ethan Vasko,Coastal Carolina,W&M,W&M,-,-,57,18.70,57,18.70,209.84,1.65,0.58,11.4,27.20,6.51,4.2,0.16
Aidan Chiles,Michigan State,MD,MSU,-,-,58,18.69,58,18.69,226.52,1.43,1.01,13.7,23.77,6.07,3.9,0.25
Jase Bauer,Sam Houston,UCF,SamHou,-,-,59,18.62,59,18.62,223.18,1.34,1.00,10.2,23.47,8.35,2.8,0.33
Luke Altmyer,Illinois,Kansas,Kansas,-,-,60,18.53,60,18.53,224.40,1.50,1.25,11.4,20.38,9.27,2.2,0.25
Blake Shapen,Mississippi State,AriSt,MissSt,-,-,61,18.44,61,18.44,228.07,1.51,0.76,12.6,12.52,6.55,1.9,0.34
Mikey Keene,Fresno State,Sac,Sac,-,-,62,18.13,62,18.13,274.68,2.10,1.01,10.5,-17.65,4.45,-4.0,0.08
Anthony Colandrea,Virginia,Wake,UVa,-,-,63,18.01,63,18.01,226.52,1.40,1.05,11.8,28.38,9.78,2.9,0.09
Drew Allar,Penn State,BGSU,BGSU,-,-,64,18.00,64,18.00,179.45,1.82,0.25,12.5,20.52,6.21,3.3,0.25
Graham Mertz,Florida,Sam,Sam,-,-,65,17.96,65,17.96,252.82,1.76,0.59,11.6,-6.95,5.78,-1.2,0.25
Brendan Sorsby,Cincinnati,Pitt,Pitt,-,-,66,17.93,66,17.93,192.98,1.43,0.59,11.7,24.98,8.63,2.9,0.34
Alan Bowman,Oklahoma State,Ark,Ark,-,-,67,17.88,67,17.88,280.00,1.51,1.09,11.3,1.51,2.09,0.7,0.08
Behren Morton,Texas Tech,WashSt,TxTch,-,-,68,17.87,68,17.87,233.83,1.73,0.99,10.4,0.91,3.63,0.3,0.25
Will Rogers,Washington,EastMi,EastMi,-,-,69,17.47,69,17.47,258.10,1.90,0.74,11.2,-4.63,3.31,-1.4,0.00
Parker Navarro,Ohio,USA,USA,-,-,70,17.42,70,17.42,195.85,1.15,1.07,11.3,30.15,8.13,3.7,0.33
Diego Pavia,Vanderbilt,Alc,Alc,-,-,71,17.25,71,17.25,177.42,1.23,0.82,13.0,32.68,8.19,4.0,0.33
Spencer Petras,Utah State,USC,UtahSt,-,-,72,17.19,72,17.19,242.88,1.59,2.17,12.2,1.25,6.10,0.2,0.17
Payton Thorne,Auburn,Cal,Cal,-,-,73,17.10,73,17.10,176.92,1.52,1.02,10.9,29.05,9.65,3.0,0.17
Tyler Van Dyke,Wisconsin,SouDak,SouDak,-,-,74,17.08,74,17.08,241.20,1.69,1.10,11.0,1.77,2.61,0.7,0.08
Max Brown,UNC Charlotte,UNC,Char,-,-,75,16.95,75,16.95,185.67,1.25,1.08,9.9,30.25,10.42,2.9,0.25
Keyone Jenkins,Florida International,CentMi,CentMi,-,-,76,16.54,76,16.54,224.38,1.18,1.01,11.7,2.88,9.56,0.3,0.42
Grant Wilson,Old Dominion,ECU,ECU,-,-,77,16.51,77,16.51,182.10,1.41,0.75,12.1,20.85,10.47,2.0,0.25
Cam Fancher,Florida Atlantic,Army,Army,-,-,78,16.38,78,16.38,195.05,1.15,1.07,9.7,19.98,8.72,2.3,0.33
Brock Vandagriff,Kentucky,SCar,SCar,-,-,79,16.34,79,16.34,202.25,1.48,0.82,12.9,13.34,4.45,3.0,0.16
Kyle McCord,Syracuse,GaTech,GaTech,-,-,80,16.24,80,16.24,247.91,1.68,0.76,12.1,-3.95,2.60,-1.5,0.00
Maalik Murphy,Duke,NW,Duke,-,-,81,16.20,81,16.20,222.14,1.53,1.21,12.4,2.41,3.06,0.8,0.16
Goose Crowder,Troy,Mem,Troy,-,-,82,16.04,82,16.04,209.75,1.42,1.17,12.0,9.83,4.67,2.1,0.17
Ty Thompson,Tulane,KanSt,KanSt,-,-,83,16.01,83,16.01,200.00,1.41,0.66,13.2,13.62,3.99,3.4,0.17
Evan Svoboda,Wyoming,Idaho,Idaho,-,-,84,15.88,84,15.88,192.40,1.26,0.84,10.8,16.09,5.14,3.1,0.25
Gevani McCoy,Oregon State,SDSU,OreSt,-,-,85,15.73,85,15.73,208.72,1.60,0.84,11.5,4.88,3.28,1.5,0.08
Davis Bryson,Kennesaw State,UL-Laf,UL-Laf,-,-,86,15.42,86,15.42,122.43,0.75,0.58,12.6,40.48,9.87,4.1,0.58
Bryson Daily,Army,FlaAtl,Army,-,-,87,15.31,87,15.31,79.44,0.59,0.59,15.2,67.60,17.80,3.8,0.50
Hayden Wolff,Western Michigan,OhioSt,WestMI,-,-,88,15.13,88,15.13,214.57,1.18,0.67,10.2,3.20,6.40,0.5,0.25
John Busha,Air Force,SJSU,SJSU,-,-,89,15.04,89,15.04,76.31,0.70,0.35,18.1,54.86,14.42,3.8,0.62
Nate Yarnell,Pittsburgh,Cin,Pitt,-,-,90,14.86,90,14.86,201.20,1.36,0.76,10.4,3.57,5.27,0.7,0.17
Tate Rodemaker,Southern Miss,SELa,SELa,-,-,91,14.84,91,14.84,194.22,1.49,1.16,11.3,6.05,6.05,1.0,0.08
Athan Kaliakmanis,Rutgers,Akron,Akron,-,-,92,14.32,92,14.32,157.56,1.25,0.75,11.6,15.37,6.15,2.5,0.25
Owen McCown,UTSA,TxSt,Tx-SA,-,-,93,14.29,93,14.29,167.09,1.14,0.65,11.7,15.54,4.99,3.1,0.25
General Booty,Louisiana-Monroe,UAB,UAB,-,-,94,14.18,94,14.18,175.29,1.15,0.98,12.3,15.84,7.22,2.2,0.16
Malachi Nelson,Boise State,Oregon,Boise,-,-,95,14.16,96,14.16,224.00,0.00,0.00,14.0,52.00,16.00,3.3,0.00
Jake Retzlaff,BYU,SMU,BYU,-,-,96,14.16,95,14.16,154.25,1.00,0.50,11.6,14.92,6.75,2.2,0.42
Kadin Semonza,Ball State,MoStU,MoStU,-,-,97,13.79,97,13.79,182.80,1.34,1.17,10.4,6.12,6.12,1.0,0.08
Ben Finley,Akron,Rut,Akron,-,-,98,13.59,98,13.59,190.33,1.27,0.93,11.4,3.89,4.91,0.8,0.08
Fernando Mendoza,California,Auburn,Cal,-,-,99,13.58,99,13.58,155.50,1.19,0.85,11.5,10.71,6.04,1.8,0.26
Alex Orji,Michigan,Tex,Tex,-,-,100,13.50,100,13.50,154.29,1.01,0.59,12.3,17.82,4.12,4.3,0.25
Joe Labas,Central Michigan,FIU,CentMi,-,-,101,13.45,101,13.45,169.95,1.16,0.91,11.9,10.26,6.87,1.5,0.17
Hank Bachmeier,Wake Forest,UVa,UVa,-,-,102,13.10,102,13.10,187.17,1.08,0.58,12.2,2.83,5.75,0.5,0.17
Cade McNamara,Iowa,IaSt,IaSt,-,-,103,13.03,103,13.03,175.71,1.15,0.82,12.0,4.19,5.17,0.8,0.16
Taisun Phommachanh,Massachusetts,Toledo,UMass,-,-,104,12.94,104,12.94,178.27,0.91,0.66,10.8,6.94,6.28,1.1,0.25
Dylan Raiola,Nebraska,Colo,Colo,-,-,105,12.92,105,12.92,165.86,1.15,0.66,12.4,6.76,4.54,1.5,0.16
Conner Harrell,North Carolina,Char,Char,-,-,106,12.80,106,12.80,167.92,1.07,0.66,13.0,8.15,3.87,2.1,0.16
Max Brosmer,Minnesota,URI,URI,-,-,107,12.50,108,12.50,151.96,1.23,0.66,12.4,5.09,3.94,1.3,0.16
Blake Horvath,Navy,Temple,Temple,-,-,108,12.50,107,12.50,100.68,0.82,0.33,13.3,37.42,9.13,4.1,0.24
Cole Snyder,Eastern Michigan,Wash,EastMi,-,-,109,12.15,109,12.15,167.75,1.01,0.76,10.2,9.00,5.97,1.5,0.08
Connor Bazelak,Bowling Green,PSU,BGSU,-,-,110,11.44,110,11.44,175.17,1.01,0.67,11.6,-11.20,5.13,-2.2,0.25
Dylan Morris,James Madison,G-Webb,G-Webb,-,-,111,11.25,111,11.25,146.60,0.93,1.01,12.5,6.59,5.49,1.2,0.17
Cardell Williams,Tulsa,ArkSt,Tulsa,-,-,112,11.11,112,11.11,85.49,0.73,0.57,14.5,18.68,4.77,3.9,0.49
Ethan Hampton,Northern Illinois,ND,NIU,-,-,113,11.01,113,11.01,136.07,0.85,0.77,11.8,6.07,4.19,1.4,0.26
Sam Leavitt,Arizona State,MissSt,MissSt,-,-,114,10.95,114,10.95,147.02,0.92,0.74,11.6,10.24,2.70,3.8,0.06
AJ Duffy,San Diego State,OreSt,OreSt,-,-,115,10.88,115,10.88,232.00,0.00,0.00,11.6,16.00,12.00,1.3,0.00
Jack Shields,Buffalo,Missou,Buff,-,-,116,10.81,116,10.81,140.24,0.73,0.90,12.5,12.82,3.67,3.5,0.16
Mike Wright,Northwestern,Duke,Duke,-,-,117,10.48,117,10.48,97.09,0.59,0.59,9.8,27.06,6.60,4.1,0.25
Brendon Lewis,Nevada,GaSo,GaSo,-,-,118,10.37,118,10.37,110.02,0.66,0.58,10.4,23.23,5.81,4.0,0.17
Ben Wooldridge,Louisiana-Lafayette,KennSt,UL-Laf,-,-,119,10.29,119,10.29,103.10,0.81,0.24,11.6,14.73,3.64,4.0,0.24
Devin Kargman,Kent,StF-Pa,StF-Pa,-,-,120,10.23,120,10.23,153.48,1.01,0.84,10.9,-9.39,6.71,-1.4,0.17
Joseph Fagnano,UConn,Merrim,Merrim,-,-,121,10.10,121,10.10,142.67,0.75,0.75,10.7,8.92,3.92,2.3,0.08
Chandler Fields,Louisiana-Lafayette,KennSt,UL-Laf,-,-,122,9.76,122,9.76,103.75,0.81,0.32,11.8,9.14,3.64,2.5,0.24
MJ Morris,Maryland,MSU,MSU,-,-,123,9.72,123,9.72,137.80,0.76,0.68,12.1,1.36,3.98,0.3,0.17
Cade McConnell,UTEP,SoUt,SoUt,-,-,124,9.43,124,9.43,129.80,0.76,0.51,12.7,6.93,4.65,1.5,0.08
Zach Gibson,Georgia State,Chat,Chat,-,-,125,9.05,125,9.05,126.00,0.76,0.68,11.9,4.65,4.65,1.0,0.08
Kirk Francis,Tulsa,ArkSt,Tulsa,-,-,126,8.95,126,8.95,131.14,0.92,0.50,13.7,0.17,1.93,0.1,0.00
Katin Houser,East Carolina,ODU,ECU,-,-,127,8.93,127,8.93,142.10,0.84,0.50,11.7,-1.18,4.03,-0.3,0.00
Evan Simon,Temple,Navy,Temple,-,-,128,8.90,128,8.90,144.25,0.76,0.93,9.9,0.85,4.31,0.2,0.00
Max Johnson,North Carolina,Char,Char,-,-,129,8.69,129,8.69,112.00,0.74,0.33,12.8,2.55,4.86,0.5,0.16
Emmett Brown,San Jose State,AF,SJSU,-,-,130,8.40,130,8.40,117.55,0.74,0.66,10.8,2.31,2.89,0.8,0.08
Chandler Rogers,California,Auburn,Cal,-,-,131,8.32,131,8.32,103.43,0.76,0.17,12.0,6.19,2.46,2.5,0.08
CJ Ogbonna,Buffalo,Missou,Buff,-,-,132,7.98,132,7.98,93.65,0.51,0.60,12.8,11.61,3.07,3.8,0.17
Walker Eget,San Jose State,AF,SJSU,-,-,133,7.97,133,7.97,113.75,0.66,0.66,10.9,2.81,2.81,1.0,0.08
Skyler Locklear,UTEP,SoUt,SoUt,-,-,134,5.94,134,5.94,85.35,0.42,0.25,12.3,3.30,3.30,1.0,0.08
Cole Pennington,Marshall,VaTech,Marsh,-,-,135,5.70,135,5.70,69.13,0.51,0.42,10.9,3.98,1.44,2.8,0.08
Braylon Braxton,Marshall,VaTech,Marsh,-,-,136,5.67,136,5.67,70.23,0.42,0.42,11.1,6.60,1.61,4.1,0.08
Alonza Barnett,James Madison,G-Webb,G-Webb,-,-,137,5.64,137,5.64,55.75,0.33,0.41,12.5,10.97,2.47,4.4,0.16
Beau Pribula,Penn State,BGSU,BGSU,-,-,138,5.60,138,5.60,23.32,0.29,0.10,12.7,17.61,3.29,5.4,0.29
Jake Garcia,East Carolina,ODU,ECU,-,-,139,5.47,139,5.47,94.76,0.49,0.33,12.2,-2.78,3.92,-0.7,0.00
Santino Marucci,New Mexico State,Lib,Lib,-,-,140,5.45,140,5.45,70.00,0.48,0.56,11.9,2.34,2.90,0.8,0.08
Eddie Lee Marburger,UTSA,TxSt,Tx-SA,-,-,141,5.43,141,5.43,69.03,0.48,0.24,11.0,2.50,2.50,1.0,0.08
Christian Veilleux,Georgia State,Chat,Chat,-,-,142,5.22,142,5.22,82.82,0.51,0.42,11.5,-1.18,2.37,-0.5,0.00
Parker Awad,New Mexico State,Lib,Lib,-,-,143,5.16,143,5.16,52.82,0.34,0.34,11.4,11.53,2.92,3.9,0.09
Stone Earle,Marshall,VaTech,Marsh,-,-,144,5.14,144,5.14,71.33,0.42,0.42,11.4,5.92,1.35,4.4,0.00
Brady Lichtenberg,Cincinnati,Pitt,Pitt,-,-,145,4.68,145,4.68,21.65,0.16,0.08,12.7,17.11,4.30,4.0,0.24
Zevi Eckhaus,Washington State,TxTch,TxTch,-,-,146,4.66,146,4.66,66.75,0.37,0.37,11.9,4.87,1.50,3.2,0.00
Chubba Purdy,Nevada,GaSo,GaSo,-,-,147,4.56,147,4.56,47.18,0.24,0.24,10.7,12.08,2.86,4.2,0.08
Tyler Huff,Jacksonville State,Lou,JacSt,-,-,148,4.44,148,4.44,31.35,0.24,0.16,130.6,12.86,3.49,3.7,0.16
Deuce Hogan,New Mexico State,Lib,Lib,-,-,149,4.32,149,4.32,54.37,0.34,0.34,12.2,2.49,2.49,1.0,0.09
Billy Edwards,Maryland,MSU,MSU,-,-,150,4.29,150,4.29,43.27,0.24,0.24,11.5,5.96,2.04,2.9,0.16
Jalen Macon,Northern Illinois,ND,NIU,-,-,151,4.25,151,4.25,53.76,0.32,0.32,11.6,3.36,1.68,2.0,0.08
Forrest Brock,Temple,Navy,Temple,-,-,152,4.01,152,4.01,70.23,0.42,0.76,8.8,-4.80,4.80,-1.0,0.00
Camden Orth,Bowling Green,PSU,BGSU,-,-,153,3.96,153,3.96,21.00,0.09,0.09,12.1,11.18,3.73,3.0,0.27
Jack Lausch,Northwestern,Duke,Duke,-,-,154,3.77,154,3.77,37.88,0.27,0.18,10.6,6.45,1.70,3.8,0.09
Gerry Bohanon,BYU,SMU,BYU,-,-,155,3.52,155,3.52,33.64,0.25,0.08,11.7,6.44,1.61,4.0,0.08
Jeff Sims,Arizona State,MissSt,MissSt,-,-,156,3.35,156,3.35,60.00,0.00,0.50,12.0,9.50,2.00,4.8,0.00
Cameran Brown,Texas Tech,WashSt,TxTch,-,-,157,3.33,157,3.33,23.00,0.17,0.08,10.6,7.42,1.67,4.4,0.17
Davis Warren,Michigan,Tex,Tex,-,-,158,2.70,158,2.70,38.75,0.25,0.17,12.2,1.50,1.00,1.5,0.00
Bert Emanuel,Central Michigan,FIU,CentMi,-,-,159,2.62,159,2.62,19.85,0.18,0.18,12.5,5.91,1.41,4.2,0.09
McCae Hillstead,BYU,SMU,BYU,-,-,160,2.58,160,2.58,33.64,0.25,0.17,11.7,2.20,2.46,0.9,0.00
Heinrich Haarberg,Nebraska,Colo,Colo,-,-,161,2.57,161,2.57,19.13,0.09,0.09,11.3,8.63,2.16,4.0,0.09
Gavin Wimsatt,Kentucky,SCar,SCar,-,-,162,2.49,162,2.49,12.64,0.08,0.08,13.2,7.04,1.76,4.0,0.16
Ryan Hilinski,Northwestern,Duke,Duke,-,-,163,2.42,163,2.42,37.25,0.18,0.09,11.3,2.15,1.07,2.0,0.00
Nate Johnson,Vanderbilt,Alc,Alc,-,-,164,2.41,164,2.41,19.18,0.09,0.09,13.2,7.36,2.36,3.1,0.09
Nick Evers,UConn,Merrim,Merrim,-,-,165,2.30,165,2.30,33.04,0.16,0.16,10.6,3.36,1.12,3.0,0.00
Grayson Loftis,Duke,NW,Duke,-,-,166,2.25,166,2.25,12.50,0.00,0.00,12.5,2.50,3.00,0.8,0.25
Caden Veltkamp,Western Kentucky,EastKy,EastKy,-,-,167,2.24,167,2.24,27.43,0.24,0.08,11.2,1.63,0.65,2.5,0.00
Kai Horton,Tulane,KanSt,KanSt,-,-,168,2.22,168,2.22,30.87,0.23,0.08,12.8,0.83,0.68,1.2,0.00
Cameron Edge,Maryland,MSU,MSU,-,-,169,2.07,170,2.07,34.41,0.17,0.17,13.1,0.17,0.68,0.3,0.00
Michael Kern,Wake Forest,UVa,UVa,-,-,170,2.07,169,2.07,28.62,0.18,0.09,11.9,2.13,1.07,2.0,0.00
Colin Parachek,Marshall,VaTech,Marsh,-,-,171,2.01,171,2.01,24.93,0.19,0.19,11.2,2.70,1.12,2.4,0.00
Sawyer Robertson,Baylor,Utah,Baylor,-,-,172,1.69,172,1.69,31.00,0.00,0.00,12.4,4.50,1.50,3.0,0.00
Pierce Clarkson,Louisville,JacSt,JacSt,-,-,173,1.61,173,1.61,21.26,0.18,0.09,14.2,0.53,0.18,2.9,0.00
Steve Angeli,Notre Dame,NIU,NIU,-,-,174,1.59,174,1.59,17.45,0.18,0.09,13.7,1.64,0.45,3.6,0.00
Elijah Brown,Stanford,CalPly,CalPly,-,-,175,1.56,175,1.56,19.67,0.08,0.08,11.2,4.42,2.00,2.2,0.00
Ben Gulbranson,Oregon State,SDSU,OreSt,-,-,176,1.50,176,1.50,20.78,0.15,0.07,11.4,0.88,0.66,1.3,0.00
Devin Brown,Ohio State,WestMI,WestMI,-,-,177,1.41,177,1.41,15.70,0.15,0.07,13.2,1.93,0.74,2.6,0.00
Justin Lamson,Stanford,CalPly,CalPly,-,-,178,1.38,178,1.38,5.67,0.00,0.00,11.3,6.58,2.33,2.8,0.08
Ty Simpson,Alabama,USF,USF,-,-,179,1.37,179,1.37,7.89,0.00,0.00,14.1,3.89,0.89,4.4,0.11
Collin Schlee,Virginia Tech,Marsh,Marsh,-,-,180,1.30,180,1.30,7.17,0.00,0.00,10.7,10.17,1.67,6.1,0.00
Tony Muskett,Virginia,Wake,UVa,-,-,181,1.25,181,1.25,20.93,0.07,0.07,11.0,1.17,0.95,1.2,0.00
Dematrius Davis,UTSA,TxSt,Tx-SA,-,-,182,1.24,182,1.24,13.43,0.10,0.10,10.8,3.24,0.86,3.8,0.00
Jayden Maiava,USC,UtahSt,UtahSt,-,-,183,1.24,183,1.24,17.10,0.10,0.10,13.2,1.60,0.50,3.2,0.00
Dante Moore,Oregon,Boise,Boise,-,-,184,1.14,184,1.14,15.44,0.11,0.11,11.6,0.78,0.33,2.4,0.00
Bryson Barnes,Utah State,USC,UtahSt,-,-,185,1.12,185,1.12,14.90,0.10,0.10,12.4,1.20,0.60,2.0,0.00
Ethan Crawford,Southern Miss,SELa,SELa,-,-,186,1.09,186,1.09,13.56,0.11,0.11,11.1,1.00,0.44,2.3,0.00
Dexter Williams,Georgia Southern,Nevada,GaSo,-,-,187,1.04,187,1.04,13.52,0.08,0.08,12.1,1.76,0.56,3.1,0.00
Ryan Burger,Liberty,NMSt,Lib,-,-,188,1.02,188,1.02,8.00,0.14,0.00,14.0,1.29,0.71,1.8,0.00
Gabarri Johnson,Oregon State,SDSU,OreSt,-,-,189,1.00,189,1.00,13.80,0.10,0.10,11.5,0.50,0.40,1.3,0.00
Trexler Ivey,UNC Charlotte,UNC,Char,-,-,190,0.99,191,0.99,17.60,0.10,0.20,11.0,-1.10,0.50,-2.2,0.00
Gunner Stockton,Georgia,TnTech,TnTech,-,-,191,0.99,190,0.99,7.50,0.08,0.00,11.2,3.58,0.83,4.3,0.00
Braedyn Locke,Wisconsin,SouDak,SouDak,-,-,192,0.88,192,0.88,12.91,0.09,0.09,10.9,0.00,0.18,0.0,0.00
Arch Manning,Texas,Mich,Tex,-,-,193,0.82,193,0.82,8.60,0.10,0.00,12.3,0.80,0.40,2.0,0.00
