,,Week 11 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ollie Gordon,Oklahoma State,TCU,OkSt,-,-,1,26.24,1,29.27,136.38,22.00,6.2,1.60,24.87,3.03,8.2,0.08
Ashton Jeanty,Boise State,Nevada,Nevada,-,-,2,23.73,2,26.98,107.29,17.00,6.3,1.14,37.25,3.25,11.5,0.41
Devin Neal,Kansas,IaSt,IaSt,-,-,3,18.38,4,19.99,103.86,17.00,6.1,1.01,13.96,1.61,8.7,0.08
Darius Taylor,Minnesota,Rut,Minn,-,-,4,17.66,9,18.97,111.46,21.00,5.3,0.90,11.19,1.31,8.5,0.00
Quinton Cooley,Liberty,MiddTn,Lib,-,-,5,17.50,17,17.92,102.22,16.00,6.4,1.16,3.15,0.41,7.7,0.00
Phil Mafah,Clemson,VaTech,Clem,-,-,6,17.24,6,19.27,92.81,17.00,5.5,1.14,11.22,2.03,5.5,0.00
Jordan James,Oregon,MD,MD,-,-,7,17.08,5,19.53,88.21,13.00,6.8,0.93,21.78,2.45,8.9,0.08
Makhi Hughes,Tulane,Temple,Temple,-,-,8,17.03,13,18.21,111.36,21.00,5.3,0.75,8.78,1.17,7.5,0.08
Tahj Brooks,Texas Tech,Colo,Colo,-,-,9,16.91,7,19.26,112.82,23.00,4.9,0.76,10.91,2.35,4.6,0.00
Jaydn Ott,California,Wake,Cal,-,-,10,16.88,10,18.87,95.56,18.00,5.3,0.83,13.52,1.99,6.8,0.17
Donovan Edwards,Michigan,Ind,Mich,-,-,11,16.83,12,18.28,87.30,19.00,4.6,0.94,19.34,1.45,13.3,0.09
Ismail Mahdi,Texas State,UL-Mon,TxSt,-,-,12,16.83,11,18.39,107.67,18.00,6.0,0.82,11.34,1.56,7.3,0.00
TreVeyon Henderson,Ohio State,Purdue,Purdue,-,-,13,16.68,15,18.04,84.76,14.00,6.1,1.02,15.87,1.36,11.7,0.08
Malik Sherrod,Fresno State,AF,Fres,-,-,14,16.59,3,20.19,87.49,17.00,5.1,0.86,21.72,3.61,6.0,0.09
Gavin Sawchuk,Oklahoma,Missou,Okla,-,-,15,16.58,18,17.90,92.87,16.00,5.8,0.99,8.58,1.32,6.5,0.08
RJ Harvey,Central Florida,AriSt,UCF,-,-,16,16.57,16,17.98,86.99,14.00,6.2,0.97,15.32,1.41,10.9,0.09
Kyle Monangai,Rutgers,Minn,Minn,-,-,17,16.52,21,17.29,101.42,19.00,5.3,0.94,7.27,0.77,9.4,0.00
Mario Anderson,Memphis,Rice,Rice,-,-,18,16.44,8,19.11,81.08,14.00,5.8,0.92,23.33,2.67,8.7,0.08
Damien Martinez,Miami,GaTech,Mia-Fl,-,-,19,16.43,20,17.52,99.00,16.00,6.2,0.92,10.33,1.08,9.6,0.00
Jahiem White,West Virginia,Cin,WVU,-,-,20,16.37,22,17.13,106.35,17.00,6.3,0.67,12.14,0.75,16.2,0.08
Quinshon Judkins,Ohio State,Purdue,Purdue,-,-,21,16.28,19,17.60,85.33,14.00,6.1,0.99,12.84,1.33,9.7,0.08
Antario Brown,Northern Illinois,WestMI,NIU,-,-,22,15.81,26,16.71,104.87,17.00,6.2,0.82,3.94,0.90,4.4,0.00
Abu Sama III,Iowa State,Kansas,IaSt,-,-,23,15.72,27,16.63,90.92,14.00,6.5,0.99,7.00,0.91,7.7,0.00
Jalen Buckley,Western Michigan,NIU,NIU,-,-,24,15.37,24,16.91,86.34,16.00,5.4,0.81,13.73,1.54,8.9,0.08
LeQuint Allen,Syracuse,BC,Syr,-,-,25,15.24,14,18.17,86.42,18.00,4.8,0.73,17.10,2.93,5.8,0.08
Marcus Carroll,Missouri,Okla,Okla,-,-,26,14.88,29,16.37,83.48,16.00,5.2,0.80,11.63,1.49,7.8,0.10
TJ Harden,UCLA,Iowa,Iowa,-,-,27,14.83,30,16.36,79.83,16.00,5.0,0.85,12.26,1.53,8.0,0.09
Cameron Skattebo,Arizona State,UCF,UCF,-,-,28,14.74,25,16.78,77.53,16.00,4.8,0.68,23.91,2.04,11.7,0.09
Jamal Haynes,Georgia Tech,Mia-Fl,Mia-Fl,-,-,29,14.55,31,16.30,87.83,15.00,5.9,0.67,12.67,1.75,7.2,0.08
Bhayshul Tuten,Virginia Tech,Clem,Clem,-,-,30,14.51,28,16.49,70.10,13.00,5.4,0.91,15.80,1.97,8.0,0.08
Trevor Etienne,Georgia,Miss,UGa,-,-,31,14.20,32,15.83,68.49,12.00,5.7,0.90,14.69,1.63,9.0,0.08
Dylan Sampson,Tennessee,MissSt,MissSt,-,-,32,13.89,33,15.61,84.18,15.00,5.6,0.57,15.41,1.72,9.0,0.08
Dean Connors,Rice,Mem,Rice,-,-,33,13.88,23,17.11,68.10,11.00,6.2,0.57,27.01,3.24,8.3,0.16
Nicholas Singleton,Penn State,Wash,Wash,-,-,34,13.74,34,15.54,69.84,14.00,5.0,0.65,18.42,1.80,10.2,0.16
Justice Haynes,Alabama,LSU,Ala,-,-,35,13.61,36,15.17,66.99,12.00,5.6,0.86,12.17,1.55,7.9,0.09
Kanye Roberts,Appalachian State,CoastC,App,-,-,36,13.48,38,15.04,77.09,14.00,5.5,0.78,11.06,1.56,7.1,0.00
Jadarian Price,Notre Dame,FlaSt,FlaSt,-,-,37,13.45,42,14.38,74.29,13.00,5.7,0.76,9.54,0.93,10.3,0.08
Rickey Hunt,Ohio,KentSt,Ohio,-,-,38,13.29,41,14.54,72.17,15.00,4.8,0.75,10.75,1.25,8.6,0.08
Terion Stewart,Bowling Green,CentMi,BGSU,-,-,39,13.22,48,13.64,76.92,14.00,5.5,0.84,4.64,0.42,11.0,0.00
Jonah Coleman,Washington,PSU,Wash,-,-,40,13.15,35,15.26,69.49,12.00,5.8,0.49,23.11,2.11,11.0,0.16
Jordan Waters,North Carolina State,Duke,Duke,-,-,41,12.89,45,13.88,70.18,13.00,5.4,0.82,9.38,0.99,9.5,0.00
Marion Lukes,Central Michigan,BGSU,BGSU,-,-,42,12.84,39,14.86,78.08,15.00,5.2,0.49,21.08,2.03,10.4,0.00
Jaydon Blue,Texas,Fla,Fla,-,-,43,12.77,40,14.60,75.29,13.00,5.8,0.54,15.84,1.83,8.7,0.07
Corey Kiner,Cincinnati,WVU,WVU,-,-,44,12.56,47,13.78,86.25,16.00,5.4,0.57,5.28,1.22,4.3,0.00
Montrell Johnson,Florida,Tex,Fla,-,-,45,12.47,37,15.09,70.00,14.00,5.0,0.51,19.31,2.61,7.4,0.08
Jai'Den Thomas,UNLV,Hawaii,UNLV,-,-,46,12.14,54,13.17,65.62,14.00,4.7,0.69,9.36,1.03,9.1,0.09
Cam Cook,TCU,OkSt,OkSt,-,-,47,12.12,57,12.83,78.10,15.00,5.2,0.63,5.00,0.71,7.0,0.00
Roman Hemby,Maryland,Oregon,MD,-,-,48,11.79,43,14.27,58.33,13.00,4.5,0.43,23.61,2.48,9.5,0.17
Raheim Sanders,South Carolina,Vandy,SCar,-,-,49,11.77,46,13.87,69.83,14.00,5.0,0.50,12.66,2.10,6.0,0.08
Devin Mockobee,Purdue,OhioSt,Purdue,-,-,50,11.73,52,13.31,65.77,14.00,4.7,0.53,14.53,1.58,9.2,0.09
