,,Week 4 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tory Horton,Colorado State,UTEP,UTEP,-,-,1,14.05,1,22.07,99.89,8.03,12.4,0.68,0.00,0.00,0.0,0.00
Jalen Royals,Utah State,Temple,UtahSt,-,-,2,13.83,2,19.96,94.09,6.14,15.3,0.74,0.00,0.00,0.0,0.00
Luther Burden III,Missouri,Vandy,Vandy,-,-,3,13.79,3,19.92,94.84,6.13,15.5,0.68,2.27,0.53,4.3,0.00
Xavier Restrepo,Miami,USF,Mia-Fl,-,-,4,12.33,4,19.20,92.00,6.87,13.4,0.52,0.00,0.00,0.0,0.00
Kevin Concepcion,North Carolina State,Clem,NCSU,-,-,5,12.21,7,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Roc Taylor,Memphis,Navy,Mem,-,-,6,12.00,10,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Kyren Lacy,LSU,UCLA,UCLA,-,-,7,11.79,19,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,Mia-Fl,Mia-Fl,-,-,8,11.72,5,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Kaedin Robinson,Appalachian State,USA,USA,-,-,9,11.67,16,17.12,74.29,5.45,13.6,0.70,0.18,0.09,2.0,0.00
Jamaal Pritchett,South Alabama,App,USA,-,-,10,11.66,9,17.97,80.22,6.32,12.7,0.61,0.00,0.00,0.0,0.00
Tre Harris,Mississippi,GaSo,GaSo,-,-,11,11.60,21,16.36,82.77,4.75,17.4,0.55,0.00,0.00,0.0,0.00
Pofele Ashlock,Hawaii,UNI,UNI,-,-,12,11.58,8,18.19,66.20,6.61,10.0,0.83,0.00,0.00,0.0,0.00
Emeka Egbuka,Ohio State,Marsh,Marsh,-,-,13,11.46,14,17.38,73.62,5.92,12.4,0.65,2.11,0.41,5.1,0.00
Eugene Wilson,Florida,MissSt,Fla,-,-,14,11.39,15,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Deion Burks,Oklahoma,Tenn,Tenn,-,-,15,11.36,13,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
Malachi Fields,Virginia,CoastC,UVa,-,-,16,11.24,18,17.01,79.91,5.77,13.8,0.54,0.09,0.09,1.0,0.00
Noah Smith,Sam Houston,NMSt,NMSt,-,-,17,11.19,12,17.44,62.83,6.25,10.1,0.50,9.08,2.33,3.9,0.17
Brennan Presley,Oklahoma State,Utah,Utah,-,-,18,11.17,6,18.67,76.91,7.51,10.2,0.44,3.32,0.87,3.8,0.09
Jayden Higgins,Iowa State,ArkSt,ArkSt,-,-,19,11.11,30,15.51,81.80,4.40,18.6,0.49,0.00,0.00,0.0,0.00
Kyle Williams,Washington State,SJSU,SJSU,-,-,20,11.06,20,16.40,74.24,5.33,13.9,0.60,0.26,0.26,1.0,0.00
Jeremiah Hunter,Washington,NW,NW,-,-,21,10.92,22,16.32,73.00,5.40,13.5,0.60,0.20,0.10,2.0,0.00
Derwin Burgess,Georgia Southern,Miss,GaSo,-,-,22,10.82,11,17.73,75.45,6.91,10.9,0.55,0.00,0.00,0.0,0.00
Elic Ayomanor,Stanford,Syr,Stan,-,-,23,10.81,27,15.91,79.41,5.10,15.6,0.48,0.00,0.00,0.0,0.00
Josh Kelly,Texas Tech,AriSt,AriSt,-,-,24,10.81,28,15.91,71.91,5.11,14.1,0.60,0.43,0.09,4.8,0.00
Eric Singleton,Georgia Tech,Lou,GaTech,-,-,25,10.74,29,15.87,76.54,5.13,14.9,0.50,0.59,0.08,7.4,0.00
Lajohntay Wester,Colorado,Baylor,Baylor,-,-,26,10.73,17,17.06,66.86,6.34,10.5,0.64,1.84,0.28,6.6,0.00
Squirrel White,Tennessee,Okla,Tenn,-,-,27,10.68,25,16.21,76.12,5.53,13.8,0.49,0.99,0.16,6.2,0.00
Rashod Owens,Oklahoma State,Utah,Utah,-,-,28,10.59,23,16.21,81.17,5.61,14.5,0.41,0.00,0.00,0.0,0.00
Nic Anderson,Oklahoma,Tenn,Tenn,-,-,29,10.57,45,14.02,71.18,3.45,20.6,0.58,0.00,0.00,0.0,0.00
Travis Hunter,Colorado,Baylor,Baylor,-,-,30,10.33,26,16.12,73.88,5.80,12.7,0.49,0.00,0.00,0.0,0.00
Caullin Lacy,Louisville,GaTech,GaTech,-,-,31,10.31,24,16.21,69.33,5.91,11.7,0.56,0.00,0.00,0.0,0.00
Demeer Blankumsee,Memphis,Navy,Mem,-,-,32,10.12,35,14.64,73.54,4.52,16.3,0.44,1.06,0.18,5.9,0.00
Isaiah Bond,Texas,UL-Mon,UL-Mon,-,-,33,10.02,31,15.19,75.39,5.17,14.6,0.40,0.57,0.16,3.6,0.00
Kelly Akharaiyi,Mississippi State,Fla,Fla,-,-,34,9.80,47,13.97,68.53,4.18,16.4,0.44,2.76,0.53,5.2,0.00
Jalen Moss,Fresno State,NM,Fres,-,-,35,9.71,32,14.77,65.07,5.07,12.8,0.53,0.00,0.00,0.0,0.00
Kamdyn Benjamin,Tulsa,LaTech,Tulsa,-,-,36,9.68,43,14.09,65.07,4.41,14.8,0.52,0.60,0.09,6.7,0.00
Denzel Boston,Washington,NW,NW,-,-,37,9.62,36,14.57,66.56,4.95,13.4,0.49,0.00,0.00,0.0,0.00
Jordan Moore,Duke,MiddTn,Duke,-,-,38,9.62,48,13.90,60.53,4.28,14.1,0.57,1.70,0.48,3.5,0.00
Chrishon McCray,Kent,PSU,KentSt,-,-,39,9.59,39,14.21,69.86,4.62,15.1,0.41,1.32,0.33,4.0,0.00
